"dataset","run","target","link","test_count","summary_path","element_extractor","llm_element_metrics","node_f1","relation_f1","llm_node_f1","llm_relation_f1","last_write_time"
"fsd","2026-06-13__19-56-37__test-fsd","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-13__19-56-37__test-fsd","D:\now_to_use\work4icse\rq1\ape\prompt_runs_by_dataset\fsd\2026-06-13__19-56-37__test-fsd","2","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-13__19-56-37__test-fsd\test_summary.json",,"False","1","1","0","0","2026-06-13 19:57:19"
"fsd","2026-06-14__20-27-13__test-fsd","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-14__20-27-13__test-fsd","D:\now_to_use\work4icse\rq1\ape\prompt_runs_by_dataset\fsd\2026-06-14__20-27-13__test-fsd","1","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-14__20-27-13__test-fsd\test\summary.json",,"False","1","1","0","0","2026-06-14 20:27:14"
"fsd","2026-06-14__21-22-27__test-fsd","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-14__21-22-27__test-fsd","D:\now_to_use\work4icse\rq1\ape\prompt_runs_by_dataset\fsd\2026-06-14__21-22-27__test-fsd","1","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-14__21-22-27__test-fsd\test\summary.json",,"False","1","1","0","0","2026-06-14 21:22:29"
"fsd","2026-06-14__21-25-54__test-fsd","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-14__21-25-54__test-fsd","D:\now_to_use\work4icse\rq1\ape\prompt_runs_by_dataset\fsd\2026-06-14__21-25-54__test-fsd","10",,,"True",,,,,"2026-06-14 21:25:54"
"fsd","2026-06-14__21-31-22__test-fsd","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-14__21-31-22__test-fsd","D:\now_to_use\work4icse\rq1\ape\prompt_runs_by_dataset\fsd\2026-06-14__21-31-22__test-fsd","10",,,"True",,,,,"2026-06-14 21:31:22"
"fsd","2026-06-14__21-48-25__test-fsd","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-14__21-48-25__test-fsd","D:\now_to_use\work4icse\rq1\ape\prompt_runs_by_dataset\fsd\2026-06-14__21-48-25__test-fsd","1","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-14__21-48-25__test-fsd\test\summary.json",,"False","1","1","0","0","2026-06-14 21:48:30"
"fsd","2026-06-14__22-04-39__test-fsd","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-14__22-04-39__test-fsd","D:\now_to_use\work4icse\rq1\ape\prompt_runs_by_dataset\fsd\2026-06-14__22-04-39__test-fsd","1","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-14__22-04-39__test-fsd\test\summary.json",,"False","1","1","0","0","2026-06-14 22:04:43"
"fsd","2026-06-14__22-12-16__test-fsd","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-14__22-12-16__test-fsd","D:\now_to_use\work4icse\rq1\ape\prompt_runs_by_dataset\fsd\2026-06-14__22-12-16__test-fsd","10","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-14__22-12-16__test-fsd\test\summary.json",,"True","0.460793723622838","0.266875089104142","0.7095","0.40909","2026-06-14 22:18:27"
"fsd","2026-06-14__23-04-41__test-fsd","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-14__23-04-41__test-fsd","D:\now_to_use\work4icse\rq1\ape\prompt_runs_by_dataset\fsd\2026-06-14__23-04-41__test-fsd","116","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-14__23-04-41__test-fsd\test\summary.json",,"True","0.404848442679109","0.241316384589112","0.718773275862069","0.44288275862069","2026-06-15 02:11:35"
"fsd","2026-06-15__14-03-47__compare-lato__test-fsd","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-15__14-03-47__compare-lato__test-fsd","D:\now_to_use\work4icse\rq1\ape\prompt_runs_by_dataset\fsd\2026-06-15__14-03-47__compare-lato__test-fsd",,,,"False",,,,,"2026-06-15 14:03:51"
"fsd","2026-06-15__14-04-48__compare-lato__test-fsd","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-15__14-04-48__compare-lato__test-fsd","D:\now_to_use\work4icse\rq1\ape\prompt_runs_by_dataset\fsd\2026-06-15__14-04-48__compare-lato__test-fsd",,,,"True",,,,,"2026-06-15 14:42:32"
"fsd","2026-06-15__14-29-00__compare-lato__test-fsd","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-15__14-29-00__compare-lato__test-fsd","D:\now_to_use\work4icse\rq1\ape\prompt_runs_by_dataset\fsd\2026-06-15__14-29-00__compare-lato__test-fsd",,,,"True",,,,,"2026-06-15 14:49:03"
"fsd","2026-06-15__15-08-03__compare-lato__test-fsd","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-15__15-08-03__compare-lato__test-fsd","D:\now_to_use\work4icse\rq1\ape\prompt_runs_by_dataset\fsd\2026-06-15__15-08-03__compare-lato__test-fsd",,,,"True",,,,,"2026-06-15 15:47:03"
"fsd","2026-06-15__16-50-41__compare-lato__test-fsd","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-15__16-50-41__compare-lato__test-fsd","D:\now_to_use\work4icse\rq1\ape\prompt_runs_by_dataset\fsd\2026-06-15__16-50-41__compare-lato__test-fsd",,,,"False",,,,,"2026-06-15 16:50:43"
"fsd","2026-06-15__16-51-08__compare-lato__test-fsd","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-15__16-51-08__compare-lato__test-fsd","D:\now_to_use\work4icse\rq1\ape\prompt_runs_by_dataset\fsd\2026-06-15__16-51-08__compare-lato__test-fsd",,,,"False",,,,,"2026-06-15 16:51:10"
"fsd","2026-06-15__16-52-54__compare-lato__test-fsd","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-15__16-52-54__compare-lato__test-fsd","D:\now_to_use\work4icse\rq1\ape\prompt_runs_by_dataset\fsd\2026-06-15__16-52-54__compare-lato__test-fsd",,,,"True",,,,,"2026-06-15 17:30:10"
"fsd","2026-06-15__17-47-12__compare-lato__test-fsd","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-15__17-47-12__compare-lato__test-fsd","D:\now_to_use\work4icse\rq1\ape\prompt_runs_by_dataset\fsd\2026-06-15__17-47-12__compare-lato__test-fsd",,,,"False",,,,,"2026-06-15 17:47:14"
"fsd","2026-06-15__17-49-37__compare-lato__test-fsd","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-15__17-49-37__compare-lato__test-fsd","D:\now_to_use\work4icse\rq1\ape\prompt_runs_by_dataset\fsd\2026-06-15__17-49-37__compare-lato__test-fsd",,,,"True",,,,,"2026-06-15 18:27:22"
"fsd","2026-06-15__23-00-32__compare-lato__test-fsd","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-15__23-00-32__compare-lato__test-fsd","D:\now_to_use\work4icse\rq1\ape\prompt_runs_by_dataset\fsd\2026-06-15__23-00-32__compare-lato__test-fsd",,,,"True",,,,,"2026-06-15 23:33:52"
